Sektor_ID,Lat,Lon,dist_to_ditch,manholes_300m,in_basin
S_51,51.06,16.77,7623.368673179539,0,0
S_52,51.08,16.77,6148.669471297736,0,0
S_53,51.1,16.77,5053.636350499835,0,0
S_54,51.12,16.77,3358.716664473822,0,0
S_55,51.14,16.77,2614.072225314547,0,0
S_56,51.16,16.77,3191.5779263850695,0,0
S_57,51.18,16.77,3746.058938902203,0,0
S_58,51.2,16.77,4425.096477717739,0,0
S_59,51.22,16.77,5718.539643471043,0,0
S_6,51.06,16.71,10890.438633297126,0,0
S_60,51.24,16.77,7464.841019661316,0,0
S_61,50.96,16.79,15947.047960674154,0,0
S_62,50.98,16.79,14509.12439155469,0,0
S_63,51.0,16.79,12846.126033979224,0,0
S_64,51.02,16.79,10761.477088982945,0,0
S_65,51.04,16.79,8716.684616946155,0,0
S_66,51.06,16.79,6768.271669017946,0,0
S_67,51.08,16.79,5050.2723857274605,0,0
S_68,51.1,16.79,3826.0435409890874,0,0
S_69,51.12,16.79,2433.623491543097,0,0
S_7,51.08,16.71,9460.246648260876,0,0
S_70,51.14,16.79,1216.7007448199618,0,0
S_71,51.16,16.79,1936.0636528547702,0,0
S_72,51.18,16.79,2360.4833464144017,0,0
S_73,51.2,16.79,3206.1302202323163,0,0
S_74,51.22,16.79,4837.714195186279,0,0
S_75,51.24,16.79,6813.9267331809915,0,0
S_76,50.96,16.81,14892.890171582401,0,0
S_77,50.98,16.81,13441.165493265959,0,0
S_78,51.0,16.81,11897.905348101373,0,0
S_79,51.02,16.81,10294.632437154196,0,0
S_8,51.1,16.71,8076.924726854547,0,0
S_80,51.04,16.81,8200.007119833177,0,0
S_81,51.06,16.81,6109.181139309905,0,0
S_82,51.08,16.81,4138.897714803536,0,0
S_83,51.1,16.81,2594.4511589129984,0,0
S_84,51.12,16.81,1523.8956538703992,0,0
S_85,51.14,16.81,123.62824571182685,0,0
S_86,51.16,16.81,1107.4803238024615,0,0
S_87,51.18,16.81,990.510390736507,0,0
S_88,51.2,16.81,2210.6256839873436,0,0
S_89,51.22,16.81,4244.216239528772,0,0
S_9,51.12,16.71,7132.92987537034,0,0
S_90,51.24,16.81,6384.869133637413,0,0
S_91,50.96,16.83,13900.696550902425,0,0
S_92,50.98,16.83,12364.24594647767,0,0
S_93,51.0,16.83,10953.594163227583,0,0
S_94,51.02,16.83,9298.41469926228,0,0
S_95,51.04,16.83,7796.744007056143,0,0
S_96,51.06,16.83,5694.590757082613,0,0
S_97,51.08,16.83,3534.511095614605,0,0
S_98,51.1,16.83,1511.4306172008778,0,0
S_99,51.12,16.83,372.48224591803364,0,0
