Sektor_ID,Lat,Lon,Pred_NDVI,Pred_NDWI,Pred_NDMI,Forecast_Date,Step
S_16,51.03,16.87,0.4235082,-0.43182963,0.13145906,2026-06-06,11
S_17,51.05,16.87,0.31290495,-0.32712618,0.026578825,2026-06-06,11
S_18,51.07,16.87,0.3326116,-0.3349356,0.06410227,2026-06-06,11
S_19,51.09,16.87,0.37896872,-0.4000622,0.092539236,2026-06-06,11
S_2,51.05,16.81,0.36191836,-0.38393223,0.078799844,2026-06-06,11
S_20,51.11,16.87,0.4675959,-0.45430538,0.036498845,2026-06-06,11
S_21,51.03,16.89,0.40205783,-0.41737038,0.07439199,2026-06-06,11
S_22,51.05,16.89,0.43633887,-0.444012,0.10373119,2026-06-06,11
S_23,51.07,16.89,0.41299158,-0.44126728,0.08496689,2026-06-06,11
S_24,51.09,16.89,0.42643973,-0.44994518,0.090749405,2026-06-06,11
S_25,51.11,16.89,0.4351555,-0.4378742,0.06671557,2026-06-06,11
S_26,51.03,16.91,0.38645488,-0.38834822,0.0926577,2026-06-06,11
S_27,51.05,16.91,0.42673665,-0.45735735,0.10316112,2026-06-06,11
S_28,51.07,16.91,0.41672713,-0.46185538,0.07612772,2026-06-06,11
S_29,51.09,16.91,0.34075356,-0.36969683,0.071688145,2026-06-06,11
S_3,51.07,16.81,0.46655443,-0.49404532,0.107067004,2026-06-06,11
S_30,51.11,16.91,0.4324087,-0.4360687,0.08004803,2026-06-06,11
S_4,51.09,16.81,0.42553392,-0.4540647,0.07049331,2026-06-06,11
S_5,51.11,16.81,0.43274534,-0.457708,0.07373571,2026-06-06,11
S_6,51.03,16.83,0.4218526,-0.44809029,0.103020266,2026-06-06,11
S_7,51.05,16.83,0.44208625,-0.44213986,0.12239548,2026-06-06,11
S_8,51.07,16.83,0.43136498,-0.46224847,0.064995095,2026-06-06,11
S_9,51.09,16.83,0.4181778,-0.45948905,0.07843588,2026-06-06,11
S_1,51.03,16.81,0.4427428,-0.4478573,0.14217457,2026-06-11,12
S_10,51.11,16.83,0.42675513,-0.45570728,0.08043455,2026-06-11,12
S_11,51.03,16.85,0.45346045,-0.46218598,0.09642452,2026-06-11,12
S_12,51.05,16.85,0.34714875,-0.32223392,0.09813836,2026-06-11,12
S_13,51.07,16.85,0.28541392,-0.32559532,-0.020586908,2026-06-11,12
S_14,51.09,16.85,0.41791895,-0.44825387,0.05030157,2026-06-11,12
S_15,51.11,16.85,0.43303385,-0.43867707,0.10038104,2026-06-11,12
S_16,51.03,16.87,0.45263952,-0.4686048,0.12586066,2026-06-11,12
S_17,51.05,16.87,0.3243284,-0.35139742,0.044004597,2026-06-11,12
S_18,51.07,16.87,0.35284033,-0.33628562,0.077175684,2026-06-11,12
S_19,51.09,16.87,0.4087278,-0.40432176,0.110769644,2026-06-11,12
S_2,51.05,16.81,0.36209637,-0.39912742,0.08302866,2026-06-11,12
