ID_mpwik,geometry
61254,POINT (6428411.84 5667471.8)
93343,POINT (6428170.58 5658908.89)
93353,POINT (6429319.83 5662930.78)
93387,POINT (6427731.25 5665710.04)
93389,POINT (6427373.03 5666216.4)
93397,POINT (6427989.88 5658722.52)
93419,POINT (6432050.06 5669939.04)
93421,POINT (6435586.99 5667503.78)
93949,POINT (6427475.8 5659111.36)
93951,POINT (6427508.17 5659077.72)
93969,POINT (6435137.2 5661122.75)
93971,POINT (6435142.95 5661132.08)
93993,POINT (6432014.32 5669583.21)
94007,POINT (6429019.95 5663705.99)
94017,POINT (6429092.36 5663661.72)
94021,POINT (6429084.81 5663691.23)
59606,POINT (6427336.41 5667987.59)
59608,POINT (6427697.23 5668009.03)
59610,POINT (6427716.25 5667982.94)
94591,POINT (6438344.97 5668072.51)
94617,POINT (6429678.28 5665474.9)
810860,POINT (6438082.22 5664457.49)
67400,POINT (6430949.02 5665358.42)
72540,POINT (6433047.51 5661958.31)
810862,POINT (6438079.36 5664458.61)
60940,POINT (6428131.19 5667046.82)
58636,POINT (6424726.5 5665136.71)
61330,POINT (6428737.49 5667370.91)
61332,POINT (6428748.79 5667382.41)
61334,POINT (6428706.81 5667354.4)
61336,POINT (6428715.7 5667353.1)
61338,POINT (6428688.96 5667356.43)
92889,POINT (6428062.9 5666256.51)
92631,POINT (6427712.69 5665796.8)
92897,POINT (6428018.16 5666200.41)
92899,POINT (6427803.56 5666154.74)
92901,POINT (6427927.21 5666095.86)
92903,POINT (6427935.97 5666109.76)
92905,POINT (6427971.23 5666104.3)
92911,POINT (6427982.48 5666055.85)
92913,POINT (6427847.23 5666083.33)
92915,POINT (6427835.73 5666052.66)
92923,POINT (6427847.56 5666246.91)
92925,POINT (6427857.91 5666281.31)
92927,POINT (6428127.31 5666224.09)
92929,POINT (6428147.44 5666215.53)
92931,POINT (6427915.69 5666207.08)
92939,POINT (6428088.19 5666129.35)
92941,POINT (6428173.58 5666370.58)
59462,POINT (6426951.35 5667729.97)
58504,POINT (6420996.01 5668080.7)
58508,POINT (6421058.61 5667859.91)
648275,POINT (6425500.6 5666193.68)
59640,POINT (6427534.34 5667630.97)
59612,POINT (6427661.29 5668017.93)
59614,POINT (6427661.71 5667995.87)
59616,POINT (6427638.05 5667994.83)
59618,POINT (6427630.63 5668019.84)
59620,POINT (6427641.44 5668020.43)
59622,POINT (6427671.11 5667985.01)
59624,POINT (6427630.58 5667966.48)
59626,POINT (6427716.14 5667969.14)
59554,POINT (6427464.09 5667806.09)
59556,POINT (6427469.43 5667801.05)
60892,POINT (6428146.85 5667164.72)
60894,POINT (6428254.64 5667172.36)
60896,POINT (6428234.23 5667208.34)
60898,POINT (6428224.65 5667225.61)
60900,POINT (6428214.96 5667242.69)
60902,POINT (6428198.59 5667242.16)
60904,POINT (6428182.64 5667241.51)
60906,POINT (6428160.8 5667240.74)
60908,POINT (6428143.73 5667241.58)
60910,POINT (6428488.49 5667106.77)
60912,POINT (6428217.19 5667059.25)
60914,POINT (6428230.65 5667080.5)
60918,POINT (6428161.84 5667173.36)
60920,POINT (6428185.73 5667172.53)
60922,POINT (6428185.49 5667136.31)
60924,POINT (6428185.42 5667129.13)
60926,POINT (6428222.85 5667095.86)
61286,POINT (6428162.26 5667306.75)
61288,POINT (6428227.2 5667306.52)
61212,POINT (6428440.98 5667294.64)
57384,POINT (6425750.73 5669503.13)
58638,POINT (6424784.54 5665139.68)
58640,POINT (6424852.44 5665143.85)
58642,POINT (6424778.04 5665293.84)
58644,POINT (6424729.7 5665250.56)
58646,POINT (6424727.41 5665289.03)
58648,POINT (6424731.45 5665223.11)
58650,POINT (6424825.09 5665296.67)
58652,POINT (6424869.13 5665299.56)
58654,POINT (6424934.37 5665331.3)
58656,POINT (6424931.7 5665362.57)
58658,POINT (6424928.79 5665406.53)
58660,POINT (6424926.02 5665466.38)
58662,POINT (6424923.83 5665517.95)
58664,POINT (6424922.87 5665537.48)
58670,POINT (6425117.62 5665503.37)
58592,POINT (6424859.87 5665687.79)
58594,POINT (6424708.03 5665578.7)
93471,POINT (6428277.23 5659310.54)
93485,POINT (6432816.67 5669589.15)
94033,POINT (6436582.96 5666555.92)
654845,POINT (6432630.26 5662556.41)
658517,POINT (6436833.78 5663458.64)
89347,POINT (6433037.1 5663527.42)
89349,POINT (6432952.26 5663512.19)
89353,POINT (6433661.57 5663545.74)
665461,POINT (6432258.41 5667887.55)
668877,POINT (6424445.07 5665991.05)
672495,POINT (6421069.36 5668296.52)
678109,POINT (6432431.83 5661007.21)
691679,POINT (6426681.47 5667171.94)
89379,POINT (6426140.21 5663535.63)
709245,POINT (6422117.69 5668854.79)
712561,POINT (6432808.94 5658584.8)
90121,POINT (6430383.75 5663434.92)
90135,POINT (6430373.8 5663410)
90139,POINT (6430327.26 5663423.52)
90141,POINT (6430308.7 5663415.06)
90143,POINT (6430330.12 5663479.77)
90145,POINT (6430357.09 5663493.83)
60780,POINT (6428648.45 5667361.36)
60782,POINT (6428633.06 5667362.31)
92853,POINT (6428066.49 5666181.41)
90175,POINT (6429807.52 5663177.95)
61886,POINT (6426068.54 5666109.07)
60944,POINT (6428479.72 5667109.07)
60946,POINT (6428294.28 5667105.51)
60948,POINT (6428266.07 5667058.75)
60950,POINT (6428378.42 5667148.11)
60952,POINT (6428334.09 5667139.34)
60954,POINT (6428031.61 5667329.85)
60956,POINT (6427858.92 5667350.04)
60960,POINT (6427799.92 5667454.49)
60962,POINT (6427838.02 5667454.04)
60964,POINT (6427789.09 5667404.71)
60966,POINT (6427816.23 5667405.25)
60968,POINT (6427837.85 5667405.86)
60888,POINT (6428185.39 5667160.25)
60890,POINT (6428147.84 5667173.7)
62140,POINT (6432308.95 5666496.16)
809390,POINT (6432890.39 5663951.52)
62146,POINT (6432331.96 5666496.65)
62152,POINT (6432488.99 5666550.37)
62154,POINT (6432499.14 5666527.27)
62160,POINT (6432509.56 5666508.36)
92963,POINT (6429554.54 5661372.49)
92965,POINT (6433971.61 5663785.07)
92971,POINT (6422620.23 5667848.88)
92973,POINT (6438214.43 5668369.53)
94035,POINT (6428682.82 5665394.15)
94055,POINT (6431848.27 5658747.77)
94059,POINT (6427336.36 5664883.39)
94067,POINT (6431847.91 5658744.09)
94073,POINT (6435748.03 5668027.44)
94107,POINT (6425793.53 5666979.42)
94117,POINT (6432496.96 5669600.11)
611025,POINT (6431056.14 5662996.72)
618259,POINT (6422911.36 5670444.29)
89313,POINT (6427696.41 5663831.79)
58094,POINT (6425445.76 5668831.51)
59318,POINT (6427574.94 5668052.98)
59324,POINT (6427658.94 5668048.62)
92317,POINT (6438602.75 5665096.36)
92319,POINT (6438633.39 5665087.84)
717975,POINT (6435882.08 5665660.49)
62200,POINT (6427068.84 5666425.71)
62202,POINT (6427082.76 5666406.98)
62204,POINT (6427109.8 5666325.01)
62206,POINT (6427134.64 5666345.43)
62212,POINT (6427045.93 5666178.02)
62138,POINT (6432225.52 5666972.5)
62274,POINT (6427297.83 5666161.98)
62276,POINT (6427198.03 5666102.42)
62278,POINT (6427293.61 5666126.69)
62280,POINT (6427274.83 5666111.23)
62282,POINT (6427265.06 5666103.46)
90847,POINT (6434220.05 5667942.21)
90853,POINT (6434381.36 5667854.99)
90855,POINT (6434377.81 5667847.28)
90857,POINT (6434370.89 5667818.04)
90859,POINT (6434379.82 5667863.99)
90863,POINT (6434416.65 5667861.19)
90885,POINT (6434268.47 5667796.89)
90893,POINT (6434237.99 5667808.06)
90901,POINT (6434374.71 5666886.98)
90911,POINT (6434417.04 5666942.44)
90915,POINT (6434438.48 5666940.59)
90917,POINT (6434428.24 5666933.43)
91565,POINT (6434096.34 5664337.51)
91621,POINT (6434779.94 5667760.44)
91627,POINT (6434794.13 5667892.56)
91629,POINT (6434788.26 5667838.92)
94205,POINT (6420382.35 5669292.47)
94207,POINT (6420391.41 5669300.59)
94217,POINT (6420468.07 5669227.74)
58374,POINT (6421069.54 5668314.46)
58376,POINT (6420992.16 5668255.12)
58378,POINT (6421084.06 5668280.71)
93525,POINT (6431271.4 5665794.33)
93527,POINT (6431250.93 5665868.65)
93531,POINT (6439950.84 5663942.67)
93537,POINT (6427778.56 5665616.1)
93539,POINT (6427777.76 5665597.15)
93565,POINT (6427290.65 5666841.67)
93569,POINT (6420334.54 5669183.2)
93571,POINT (6429762.15 5663191.38)
91897,POINT (6422401.73 5670914.98)
91899,POINT (6422403.57 5670869.66)
91905,POINT (6422376.37 5670793.31)
89661,POINT (6430709.46 5663131.7)
89683,POINT (6431153.37 5663178.38)
89723,POINT (6431616.31 5663407.69)
89729,POINT (6431516.74 5663249.77)
89735,POINT (6431418.43 5663230.49)
90495,POINT (6435242.06 5664081.05)
90501,POINT (6435235.17 5664066.51)
90507,POINT (6439004.68 5667945.63)
90521,POINT (6439153.34 5667988.86)
90531,POINT (6439098 5667904.96)
