ID_mpwik,geometry
613791,POINT (6430423.5 5670043.26)
613792,POINT (6430426.29 5670049.68)
613793,POINT (6430442.19 5670035.96)
613794,POINT (6430442.51 5670026.5)
613798,POINT (6430464.61 5670032.27)
613799,POINT (6430472.73 5670027.09)
613800,POINT (6430462.69 5670005.77)
613801,POINT (6430467.34 5670010.09)
613802,POINT (6430476.25 5669989.75)
613803,POINT (6430481.54 5669993.93)
613804,POINT (6430489.87 5669973.28)
613805,POINT (6430494.98 5669977.77)
644463,POINT (6437927.63 5664833.85)
644464,POINT (6437911.52 5664833.68)
644465,POINT (6437887.17 5664857.41)
644466,POINT (6437860.29 5664867.7)
642516,POINT (6430732.05 5658136.88)
642517,POINT (6430760.06 5658122.37)
642518,POINT (6430788.13 5658108.45)
642519,POINT (6430853.3 5658076.07)
642520,POINT (6430902.47 5658048.47)
642521,POINT (6430915.5 5658032.15)
642522,POINT (6430953.87 5658000.77)
642523,POINT (6430973.29 5657997.75)
642524,POINT (6430999.57 5657993.66)
642525,POINT (6431030.79 5657992.5)
613648,POINT (6429896.65 5670843.79)
613646,POINT (6429888.99 5670867)
613647,POINT (6429891.16 5670842.04)
613652,POINT (6429826.95 5670980.09)
613653,POINT (6429818.71 5670969.78)
613654,POINT (6429807.77 5670971.25)
613655,POINT (6429789.51 5670957.16)
652929,POINT (6433469.66 5658296.47)
