SYMBOL_ROWU,RODZAJ_KOD,ZARUR_SREDNICA,ID_mpwik,Shape_Length,geometry
O-25.2b,1.0,,619,11.93115669183123,"MULTILINESTRING ((6420576.44 5671632.4, 6420582.58 5671622.17))"
B-9',1.0,,23584,15.270913528826021,"MULTILINESTRING ((6420317.96 5669729.54, 6420330.98 5669737.52))"
O-25,1.0,,620,215.79528685396537,"MULTILINESTRING ((6420839.86 5671691.67, 6420858.49 5671704.62, 6420885.91 5671746.09, 6420891.9 5671759.59, 6420904.99 5671781.95, 6420949.62 5671835.28, 6420956.64 5671867.7))"
O-25.2e,1.0,,621,18.195032289218346,"MULTILINESTRING ((6420580.19 5671696.34, 6420569.95 5671681.3))"
O-25,1.0,,622,121.93279095181951,"MULTILINESTRING ((6420987.27 5671997.29, 6421002.98 5672066.94, 6420998.03 5672117.23))"
O-25,1.0,,623,56.31681809195901,"MULTILINESTRING ((6420973.01 5671933.63, 6420985.65 5671988.51))"
O-77,1.0,,624,80.58974928182487,"MULTILINESTRING ((6420984.55 5671909.18, 6420992.61 5671955.58, 6420996.57 5671988.84))"
O-76,1.0,,625,169.57619589115848,"MULTILINESTRING ((6421150.48 5671913.1, 6421134.87 5671938.72, 6421084.34 5671938.24, 6420995.31 5671939.76))"
B-21.8,1.0,,626,78.81085644068291,"MULTILINESTRING ((6421253.06 5671864.11, 6421253.24 5671880.15, 6421260.18 5671885.18, 6421273.13 5671899.32, 6421292.6 5671913.76, 6421301.28 5671920.16))"
B-21.8b,1.0,,627,196.04693165936743,"MULTILINESTRING ((6421318.22 5672113.37, 6421313.14 5672074.59, 6421311 5672048.23, 6421306.58 5672019.47, 6421305.97 5671989.79, 6421295.09 5671940.7, 6421301.28 5671920.19))"
O-25.1,1.0,,628,22.117979112113165,"MULTILINESTRING ((6421167.68 5671865.13, 6421158.13 5671885.08))"
O-25.1.4,1.0,,629,21.46103445816704,"MULTILINESTRING ((6421098.6 5671865.97, 6421100.68 5671887.33))"
O-25.1,1.0,,630,250.77215785471034,"MULTILINESTRING ((6421161.53 5671615.18, 6421165 5671693.48, 6421163.94 5671724.49, 6421166.38 5671775.26, 6421169 5671821.11, 6421169.92 5671861.12, 6421167.68 5671865.13))"
,1.0,,631,144.361948555512,"MULTILINESTRING ((6421079.06 5671616.75, 6421081.99 5671674.3, 6421088.36 5671713.72, 6421090.65 5671760.47))"
B-21.8,1.0,,632,257.0667770410103,"MULTILINESTRING ((6421206.9 5671614.64, 6421226.26 5671667.15, 6421225.15 5671674.51, 6421235.79 5671702.89, 6421240.39 5671720.62, 6421239.6 5671753.6, 6421240.52 5671771.2, 6421240.12 5671780.66, 6421245.25 5671811.66, 6421248.4 5671818.1, 6421253.26 5671851.86, 6421253.06 5671864.11))"
B-21.8,1.0,,633,5.114694517072917,"MULTILINESTRING ((6421368.16 5671862.71, 6421372.15 5671859.51))"
,1.0,,634,28.742967610646403,"MULTILINESTRING ((6418149.3 5671405.45, 6418157.97 5671411.67, 6418159.86 5671414.82, 6418158.85 5671422.55, 6418156.42 5671428.69))"
O-25.13,1.0,,635,8.018883962445553,"MULTILINESTRING ((6418486.26 5671632.83, 6418494.25 5671632.15))"
O-25.13.18,1.0,,636,52.03086487845869,"MULTILINESTRING ((6418482.98 5671597.62, 6418468.76 5671647.67))"
O-25.13.18,1.0,,637,55.41148982585061,"MULTILINESTRING ((6418511.38 5671544.65, 6418500.54 5671559.15, 6418491.75 5671575.51, 6418484.63 5671592.84))"
O-25.13.3b,1.0,,638,57.85214184923497,"MULTILINESTRING ((6418525.23 5671526.08, 6418549.37 5671502.82, 6418567.45 5671486.54))"
O-25.13,1.0,,639,91.08307759616875,"MULTILINESTRING ((6418522.01 5671549.68, 6418515.59 5671559.3, 6418502.73 5671583.16, 6418496.33 5671598.17, 6418489.64 5671620.56, 6418486.26 5671632.83))"
O-25.13.5,1.0,,640,43.70576392179851,"MULTILINESTRING ((6418619.48 5671583.4, 6418631.11 5671625.53))"
O-25.13.4,1.0,,641,114.2613772689159,"MULTILINESTRING ((6418691.45 5671508.78, 6418737.57 5671521.58, 6418743.4 5671524.27, 6418775.17 5671553.58, 6418774.68 5671561.14, 6418781.75 5671566.99))"
O-25.13.3,1.0,,642,5.37736924522093,"MULTILINESTRING ((6418697.04 5671394.88, 6418701.6 5671397.73))"
O-25.13.3b,1.0,,643,7.83506222060733,"MULTILINESTRING ((6418567.45 5671486.54, 6418573.04 5671481.05))"
O-25.13.3b,1.0,,644,115.32428365661293,"MULTILINESTRING ((6418576.03 5671478.7, 6418577.74 5671477.83, 6418629.67 5671432.51, 6418662.97 5671403.02))"
O-25.13.3b,1.0,,645,8.91361318426149,"MULTILINESTRING ((6418664.71 5671401.17, 6418671.32 5671395.19))"
O-25.13.2,1.0,,646,86.5846487190578,"MULTILINESTRING ((6418927.51 5671392.96, 6418928.83 5671404.94, 6418930.29 5671413.83, 6418931.61 5671417.27, 6418933.63 5671421.7, 6418938.33 5671430.37, 6418940.81 5671434.97, 6418958 5671459.83, 6418963.19 5671464.46, 6418967.16 5671466.98))"
O-25.13,1.0,,647,46.666758537784794,"MULTILINESTRING ((6418569.13 5671625.18, 6418614.24 5671622.96, 6418615.66 5671623.45))"
O-25.13.1,1.0,,648,110.7534334777993,"MULTILINESTRING ((6419090.02 5671481.54, 6419124.56 5671485.64, 6419138.88 5671499.33, 6419137.7 5671524.42, 6419145.21 5671554.54))"
O-25.13,1.0,,649,45.97630713710375,"MULTILINESTRING ((6418990.45 5671549.46, 6419032.52 5671541.83, 6419035.74 5671541.83))"
O-25,1.0,,650,118.2945693300365,"MULTILINESTRING ((6419109.14 5671639.92, 6419120.52 5671629.24, 6419121.03 5671627.71, 6419121.29 5671626.41, 6419122.54 5671625.54, 6419123.86 5671625.91, 6419125.1 5671626.04, 6419126.19 5671625.59, 6419129.05 5671623.77, 6419131.3 5671621.02, 6419146.03 5671608.29, 6419148.17 5671603.19, 6419153.69 5671604.44, 6419168.96 5671599.51, 6419172.18 5671593.41, 6419181.51 5671590.12, 6419183.15 5671583.49, 6419175.99 5671582.76, 6419172.64 5671576.85, 6419173.85 5671573.92))"
O-25.12.4,1.0,,651,207.4693008612062,"MULTILINESTRING ((6419160.87 5671459.95, 6419366.89 5671435.47))"
O-25.12,1.0,,652,146.13954485917185,"MULTILINESTRING ((6419194.47 5671388.88, 6419269.32 5671392.73, 6419306.04 5671390.62, 6419340.45 5671390.58))"
O-25.13.2,1.0,,653,60.529497413456596,"MULTILINESTRING ((6418967.16 5671466.98, 6418988.37 5671476.82, 6419013.32 5671486.78, 6419020.17 5671494.45))"
O-25.12,1.0,,654,34.57133205402083,"MULTILINESTRING ((6419340.45 5671390.58, 6419366.62 5671413.17))"
O-25.13.3,1.0,,655,4.699489334358958,"MULTILINESTRING ((6418692.6 5671393.34, 6418697.04 5671394.88))"
,1.0,,656,30.366356089877794,"MULTILINESTRING ((6418955.35 5671352.33, 6418943.34 5671350.34, 6418926.09 5671344.56))"
O-25.16,1.0,,533,252.95761225900785,"MULTILINESTRING ((6418381.51 5672648.81, 6418417.11 5672398.37))"
,1.0,,534,38.04375734500875,"MULTILINESTRING ((6417833.82 5672279.7, 6417839.38 5672265.41, 6417851.82 5672246.41))"
O-25.19,1.0,,535,19.132895755218083,"MULTILINESTRING ((6418404.99 5672398.51, 6418407.7 5672379.57))"
O-25.16,1.0,,536,20.383230853216176,"MULTILINESTRING ((6418417.11 5672398.37, 6418419.91 5672378.18))"
O-25.19,1.0,,537,225.57008197798353,"MULTILINESTRING ((6418408.56 5672373.61, 6418413.31 5672338.63, 6418414.32 5672311.57, 6418414.06 5672148.38))"
O-25.16,1.0,,538,226.13795793824852,"MULTILINESTRING ((6418420.47 5672374, 6418425.78 5672333.34, 6418426.83 5672315.3, 6418425.98 5672148.24))"
O-68,1.0,,539,224.00441141538036,"MULTILINESTRING ((6419044.53 5672364.44, 6419035.27 5672226.81, 6419034.79 5672203.18, 6419035.73 5672193.81, 6419035.87 5672150.91, 6419034.76 5672140.86))"
O-65,1.0,,540,26.207558069942145,"MULTILINESTRING ((6420550.57 5672180.32, 6420575.88 5672173.52))"
